,anime_id,Name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Start,End
2256,3913,Onikirimaru,6.16,['Action'],"There was once an ogre (oni) mother who gave birth to a human looking child. Instead of an ogre's horn, this child was born with a sword in hand called the ""Onikirimaru"" or Ogre Slayer. He has no name and is only referred to by the name of his sword. Though he appears human, he is pure ogre. Believing that he will become human once all of his kind have vanished from the world of humans, he sets out on his destiny to slay all of his kind. Even now, in the mother world of Japan, he is still out there slaying ogres.

(Source: ANN)",OVA,4.0,"Sep 9, 1994 to Jul 21, 1995",Finished Airing,"KSS, OB Planning, TBS, Shogakukan",VIZ Media,Pastel,Unknown,29,R - 17+ (violence & profanity),8060.0,9397,2,934.0,3089,1994-09-09,1995-07-21
2265,3927,Kidou Senshi Gundam 00 Second Season,8.08,"['Action', 'Drama', 'Sci-Fi']","In the year 2311 AD, a world that once saw itself full of inter-continental conflict now stands unified, led by the Earth Sphere Federation (ESF). The ESF established a preventative military task force known as the A-Laws, tasking them with shutting down violent terrorist organizations. As they gain more and more legal authority, the A-Laws begin to twist the law to fit their own agenda, ruling the citizens of Earth with a heavy hand.

In response to the fascistic behavior of the A-Laws, the anti-terrorist group Celestial Being reappears. Led by state-of-the-art mobile suits known as Gundam, the pilots of Celestial Being wage a new war with the A-Laws, aiming to stop their tyrannical abuse of power.

Setsuna F. Seiei, pilot of the Gundam Exia, helps to lead the charge along with his fellow Gundam Meisters Lockon Stratos, Allelujah Haptism, and Tieria Erde. But in the process, Setsuna stumbles upon a conspiratorial plot spearheaded by a new faction, the Innovators, and must contend with his own old wounds and ghosts of the past in order to save a world that despises him.",TV,25.0,"Oct 5, 2008 to Mar 29, 2009",Finished Airing,Mainichi Broadcasting System,Bandai Entertainment,Sunrise,Original,24,R - 17+ (violence & profanity),479.0,1453,1365,91787.0,146885,2008-10-05,2009-03-29
2281,3958,Kannagi,7.28,"['Comedy', 'Supernatural']","When he was a child and out catching bugs, Jin Mikuriya fatefully encountered a deity, which became the inspiration for his newest piece of art: The Tree Spirit. Trying to think of a way to bring the wooden statue to school, Jin believes that the rest of the day will be spent admiring his work. But before he can even lift it, the sculpture begins to absorb the earth around it and explodes into a cute girl!

The girl, Nagi, who introduces herself as a guardian of the earth, proclaims that Jin must help her get rid of the ""impurities"" that plague the land. But alas, due to Nagi's tree being cut down and her powers completely drained, she finds herself cleansing the impurities with only a magical wand! With their lives now intertwined, Jin and Nagi find ways to learn more about one another through the endless amounts of daily antics.",TV,13.0,"Oct 4, 2008 to Dec 27, 2008",Finished Airing,"Aniplex, Sony Music Entertainment, Ichijinsha",Bandai Entertainment,A-1 Pictures,Manga,23,PG-13 - Teens 13 or older,2622.0,1319,376,67766.0,165735,2008-10-04,2008-12-27
2286,3972,Yu☆Gi☆Oh! 5D's,7.44,['Action'],"Yuusei Fudou is out to get back what was stolen from him.

The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City.

In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes.",TV,154.0,"Apr 2, 2008 to Mar 30, 2011",Finished Airing,"Nihon Ad Systems, Konami Cross Media NY",4Kids Entertainment,Gallop,Manga,24,PG-13 - Teens 13 or older,1937.0,1538,1515,79526.0,135950,2008-04-02,2011-03-30
2288,3974,Tetsuwan Birdy Decode,7.42,"['Action', 'Comedy', 'Sci-Fi']","While pursuing an alien fugitive, Birdy Cephon Altera—a bombastic police officer from the Space Federation—finds herself on Earth. Her target, Geega, has disguised himself as a human and assimilated into the fashion industry, so Birdy follows suit and joins a modeling agency, taking on the identity ""Shion Arita."" Her position as a rising model has her posing for photo shoots by day and chasing intergalactic criminals by night.

Meanwhile, Tsutomu Senkawa, an average high school student, explores an abandoned building with his friend, and coincidentally, Birdy has tracked down Geega to the same building. Senkawa briefly witnesses the battle before being seized as a hostage by Geega. However, Birdy, oblivious, attacks Geega and accidentally kills Senkawa. Distraught, she quickly decides to save him by integrating his consciousness into her body.

Now, Birdy and Senkawa must not only cohabitate the same body, but also balance Senkawa's high school life, Shion Arita's modeling career, and Birdy's increasingly dangerous job as a Federation officer.",TV,13.0,"Jul 5, 2008 to Sep 27, 2008",Finished Airing,"Aniplex, Shogakukan",Funimation,A-1 Pictures,Manga,24,PG-13 - Teens 13 or older,1995.0,2014,386,34349.0,93650,2008-07-05,2008-09-27
2291,3977,To Heart Omake,6.14,['Comedy'],"Six short ""Special Broadcasts"" (omake) were produced and aired after selected episodes. They lasted around five minutes and followed the general style of the main anime, although the characters are drawn as chibis.

(Source: Wikipedia)",Special,6.0,"Jul 9, 1999 to Dec 17, 1999",Finished Airing,KSS,Nozomi Entertainment,OLM,Unknown,4,PG-13 - Teens 13 or older,8142.0,9170,0,1117.0,3324,1999-07-09,1999-12-17
2309,4021,Seiyou Kottou Yougashiten: Antique,7.01,"['Boys Love', 'Comedy', 'Gourmet']","A high school crush, a world-class pastry chef, a former middle-weight boxing champion... and a whole lot of cake!
Ono has come a long way since the agonizing day in high school when he confessed his love to handsome Tachibana. Now, some 14 years later Ono, a world-class pastry chef and gay playboy has it all. No man can resist Ono's charms (or his cooking skills!) but he has just found a new position under a man named Tachibana. Can this be the only man who resisted his charms, and if so, will the man who once snubbed the ""magically gay"" Ono get his just deserts? And how in the heck did a former middleweight boxing champion wind up as Ono's cake boy? 

(Source: DMP)",TV,12.0,"Jul 4, 2008 to Sep 19, 2008",Finished Airing,"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Shinshokan",Nozomi Entertainment,"Nippon Animation, Shirogumi",Manga,22,PG-13 - Teens 13 or older,3960.0,3406,104,15268.0,37509,2008-07-04,2008-09-19
2310,4023,Kitty's Paradise,6.55,['Fantasy'],"Hello Kitty and her twin sister Mimi (aka Mimmy) are in kindergarten and have regular adventures ""over the rainbow"" (in their imaginations) or around their home and neighborhood.",TV,16.0,"Apr 6, 1994 to Sep 28, 1994",Finished Airing,Bones,ADV Films,Sanrio,Original,8,G - All Ages,6056.0,10237,7,760.0,2295,1994-04-06,1994-09-28
2316,4038,Zettai Karen Children,7.29,"['Action', 'Comedy', 'Supernatural']","They're cute, adorable and three of the most powerful Espers the world has ever seen: Kaoru, the brash psychokinetic who can move objects with her mind; Shiho, the sarcastic and dark natured psychometric able to pick thoughts from people's minds and read the pasts of inanimate objects like a book; and Aoi, the most collected and rational of the three, who has the ability to teleport herself and the others at will. So what to do with these potential psychic monsters in the making? Enter B.A.B.E.L., the Base of Backing ESP Laboratory, where hopefully ""The Children"" and others like them can become part of the answer to an increasing wave of psychic evolution. It's a win-win solution... Unless you're Koichi Minamoto, the overworked young man stuck with the unenviable task of field commanding a team of three pre-teen girls! 

(Source: Sentai Filmworks)",TV,51.0,"Apr 6, 2008 to Mar 29, 2009",Finished Airing,"TV Tokyo, Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Half H.P Studio",Sentai Filmworks,SynergySP,Manga,24,PG-13 - Teens 13 or older,2597.0,3049,118,11826.0,45601,2008-04-06,2009-03-29
2317,4039,Golgo 13 (TV),7.52,"['Action', 'Adventure', 'Drama', 'Suspense']","Golgo 13 is not his real name. Then again, neither is Duke Togo, Tadashi Togo, or any number of the aliases he goes by. A man of mystery, not even the world’s most prominent intelligence agencies can determine who Golgo really is, or just where he came from. But all agree that his skills are nothing short of legendary.

Armed with a custom M16, Golgo is willing to take any job for any agency, from the FBI to the KGB. He has completed every contract he has ever taken and will work for anyone who can meet his price. He is both the greatest weapon and the greatest threat to any nation; no one is safe once they are in Golgo’s sights.",TV,50.0,"Apr 12, 2008 to Mar 28, 2009",Finished Airing,"TV Tokyo, Sotsu, Half H.P Studio",Sentai Filmworks,The Answer Studio,Manga,24,R+ - Mild Nudity,1652.0,3228,223,11267.0,41246,2008-04-12,2009-03-28
2322,4052,Medarot Damashii,6.65,"['Action', 'Adventure', 'Sci-Fi']","The sequel to the famous Medabots series, following the continuing adventures of Ikki and Metabee. The two encountered a strange enemy named Jinkai and the so called Death Medabots. Along with Nae and Erica, they will defeat Jinkai and the Death Medabots.",TV,39.0,"Jul 7, 2000 to Mar 30, 2001",Finished Airing,"TV Tokyo, Nihon Ad Systems, Nelvana","ADV Films, Discotek Media",Trans Arts,Game,22,G - All Ages,5602.0,4609,17,10061.0,19663,2000-07-07,2001-03-30
2330,4063,Sekirei,7.04,"['Action', 'Comedy', 'Ecchi']","Struggling yet brilliant 19-year-old Minato Sahashi has failed his college entrance exams for the second time, resulting in him being regarded as worthless by those around him. However, the course of his seemingly bleak future is altered dramatically when a beautiful, supernatural woman falls from the sky and into his life. That woman, Musubi, is a unique being known as a ""Sekirei,"" a humanoid extraterrestrial with extraordinary abilities. These aliens are known for kissing humans carrying the Ashikabi gene in order to awaken additional latent powers deep within.

Recognizing the potential within the seemingly insignificant youth, Musubi kisses the bewildered Minato, initiating a bond between the two of them. This drags him into the high-stakes world of the Sekirei, where he and his new partner must compete against others in a battle for survival called the ""Sekirei Plan."" However, unbeknownst to the contestants, there is far more at risk that what the competition initially entailed.",TV,12.0,"Jul 2, 2008 to Sep 17, 2008",Finished Airing,"Aniplex, Movic",Funimation,Seven Arcs,Manga,23,R+ - Mild Nudity,3820.0,537,1674,200937.0,397397,2008-07-02,2008-09-17
2331,4066,Tytania,6.8,"['Adventure', 'Romance', 'Sci-Fi']","One Man vs. an Empire!  Through fear and conquest, the Empire of Valdana holds the future of most of human space within its iron hands, and for generations, those hands have belonged to the Landless Lords of the ruling Tytania dynasty.  

But now the foundation of the empire is crumbling, pockets of rebellion are forming and when a mission sent to punish the city-state of Euriya is shockingly defeated, the man responsible becomes the target of a galaxy-wide manhunt!  

For Fan Hyurlick, architect of Tytania's first defeat, glory becomes desperation as his own side betrays him.  Now Fan must not only save his own life, but somehow turn the tables on opponents who have whole worlds to command!

(Source: Sentai Filmworks)",TV,26.0,"Oct 9, 2008 to Mar 26, 2009",Finished Airing,"Kodansha, Sogo Vision, Magic Capsule, Happinet Pictures, Sony PCL",Sentai Filmworks,Artland,Light novel,24,PG-13 - Teens 13 or older,4827.0,4666,33,7151.0,19136,2008-10-09,2009-03-26
2336,4081,Natsume Yuujinchou,8.31,"['Drama', 'Slice of Life', 'Supernatural']","Due to an unusual ability to see strange creatures called youkai, Takashi Natsume has never fit in. Passed around from one foster home to another, he was left isolated and lonely. Over time, he has accepted that no one would ever believe him and has closed himself off to his current caretakers and classmates.

When Natsume accidentally breaks an intangible barrier, he frees Madara—a mighty spirit in the form of a lucky cat. Madara notices that Natsume bears a remarkable resemblance to his late grandmother Reiko Natsume, an outcast girl who became known across the youkai world for creating the Book of Friends. It is now in Natsume's possession, along with its power to call upon the written names of the youkai Reiko had defeated. 

With no interest in its powers, Natsume decides to keep the book for the sake of his grandmother's memories and to protect it from scheming youkai. Therefore, he makes a deal with Madara: he will hand him the book once his time is up, and in turn, Madara will act as Natsume's unofficial bodyguard, nicknamed Nyanko-sensei. With his newfound goal of freeing those Reiko had sealed, Natsume's relationship with both youkai and humans slowly begins to improve.",TV,13.0,"Jul 8, 2008 to Sep 30, 2008",Finished Airing,"Aniplex, Nihon Ad Systems, TV Tokyo Music, Sony Music Entertainment","NIS America, Inc., Crunchyroll",Brain's Base,Manga,24,PG-13 - Teens 13 or older,232.0,394,15221,179501.0,519303,2008-07-08,2008-09-30
2340,4087,Michiko to Hatchin,7.84,"['Action', 'Adventure']","Under the unrelenting heat of the South American sun, hardened criminal Michiko Malandro breaks out of a high security prison for the fourth time in search of a man from her past. Michiko finds a clue in the form of Hana Morenos, a young girl trapped under the fists of her abusive foster family. In her powerlessness, Hana fantasizes about the day when she is finally whisked away from her captors by her very own Prince Charming. Little does she know that her fated prince would turn out to be the buxom and husky convict who charges in atop a stolen motorbike, claiming to be her mother.

The unlikely duo chase down their dreams in the sun-drenched land of Diamandra, navigating through the cacophony of betrayal, poverty, and child exploitation rings hiding in plain sight. However, wind of Michiko's manhunt soon reaches the ears of criminal syndicate Monstro Preto, and a storm of gang warfare begins brewing over the horizon…

Michiko to Hatchin is the story of vibrant people and their clashing agendas, and of all the unlikely human connections drawn together by one elusive man.",TV,22.0,"Oct 16, 2008 to Mar 19, 2009",Finished Airing,"Media Factory, Shochiku, Yomiko Advertising, Fuji TV",Funimation,Manglobe,Original,22,R - 17+ (violence & profanity),834.0,1144,2365,59305.0,193544,2008-10-16,2009-03-19
2353,4151,Mugen no Juunin,6.82,"['Action', 'Adventure', 'Supernatural']","Manji is an infamous swordsman in feudal Japan who is known as the ""Hundred Man Killer,"" as he has killed one hundred innocent men. However, there is something far more frightening than his ominous reputation: the fact that he is immortal. This is the handiwork of eight-hundred-year-old nun Yaobikuni, who placed bloodworms capable of healing almost any wound in Manji's body.

To atone for his crimes, Manji resolves to kill one thousand evil men. Yaobikuni agrees to this proposal, saying that if he succeeds, she will undo his curse of immortality. Soon after this promise, Manji meets Rin Asano, a 16-year-old girl who requests Manji's assistance in killing those who slaughtered her parents.

Initially reluctant, Manji refuses Rin's desperate plea. However, owing to her evident lack of strength, Manji changes his mind and agrees to protect Rin for four years. With this partnership set in stone, the two embark on a perilous journey of bloodshed, vengeance, and redemption, each to fulfill their own life's cause.",TV,13.0,"Jul 14, 2008 to Dec 29, 2008",Finished Airing,"Production I.G, Kodansha",Media Blasters,Bee Train,Manga,24,R - 17+ (violence & profanity),4742.0,2479,151,25721.0,67162,2008-07-14,2008-12-29
2360,4177,Bounen no Xamdou,7.65,"['Action', 'Adventure', 'Sci-Fi']","Sentan Island is a small island surrounded by the Yuden Sea. It exists in a state of dreamlike tranquility, cut off from the war between the Northern Government and the Southern Continent Free Zone. Our hero, Akiyuki Takehara, lives on Sentain Island along with his mother Fusa. He is currently separated from his father, the town doctor Ryuzo, but the bond between father and son remains. One day, after taking Ryuzo the lunch that Fusa has made for him as usual, Akiyuki arrives at school, where he is caught up in an explosion along with his friends, Haru and Furuichi. The explosion produces a mysterious light, which enters Akiyuki's arm, causing him excruciating pain. He's given no time to understand it, however, as the white-haired girl who rode on the bus with him guides him to a power unlike anything he's ever known.",ONA,26.0,"Jul 15, 2008 to Feb 4, 2009",Finished Airing,"Aniplex, Half H.P Studio",Sentai Filmworks,Bones,Original,24,PG-13 - Teens 13 or older,1249.0,1518,1075,57612.0,138433,2008-07-15,2009-02-04
2361,4181,Clannad: After Story,8.93,"['Drama', 'Romance', 'Supernatural']","Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.

Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.

Based on the visual novel by Key and produced by Kyoto Animation, Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.",TV,24.0,"Oct 3, 2008 to Mar 27, 2009",Finished Airing,"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,24,PG-13 - Teens 13 or older,19.0,114,68949,639729.0,1149886,2008-10-03,2009-03-27
2363,4186,Chrome Shelled Regios,7.28,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","In a post-apocalyptic world overrun with mutated beasts called Limbeekoon or Filth Monsters, humanity is forced to live in large mobile cities called Regios and learn to use special weapons called Dite, by harnessing the power of Kei to defend themselves. In the Academy City of Zuellni, Layfon Alseif is hoping to start a new life and forget his past. However, his past has caught the attention of Karian Loss, the manipulative Student Council President and Nina Antalk, a Military Arts student and Captain of the 17th Military Arts Platoon, who instantly recognizes his abilities and decides he’s the perfect candidate to join her group. However, with a secret past that won’t leave him alone and unknown powers beyond normal, Layfon just might not take it.",TV,24.0,"Jan 11, 2009 to Jun 21, 2009",Finished Airing,"Kadokawa Shoten, AMG MUSIC",Funimation,Zexcs,Light novel,24,R - 17+ (violence & profanity),2609.0,1076,1042,102894.0,207899,2009-01-11,2009-06-21
2367,4192,Hayate no Gotoku!!,7.67,"['Action', 'Comedy', 'Romance']","Hayate Ayasaki's misfortune continues to hand him the short end of the stick. Now settled into his routine at the Sanzenins' mansion and Hakuou Academy, the butler continues to work as hard as ever in caring for his young mistress Nagi while studying the school's grueling curriculum—all on top of trying his best to survive the multitude of troubles that life relentlessly pushes onto him.

The unintentional chick magnet's life is far from quiet, forced to deal not only with Nagi's yet unnoticed infatuation with him, but also the evergrowing string of accidentally seduced girls—most notably, the exceptionally plain Ayumu Nishizawa, a friend of his before he became a butler, and the diligent Hinagiku Katsura, Hakuou's student council president. While one struggles to gain his affection and the other desperately tries to deny her own, both the girls are going to make the boy's life a little more complicated than it already is.",TV,25.0,"Apr 4, 2009 to Sep 19, 2009",Finished Airing,"TV Tokyo, Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment",Sentai Filmworks,J.C.Staff,Manga,24,PG-13 - Teens 13 or older,1204.0,1787,477,56309.0,112866,2009-04-04,2009-09-19
2369,4196,Ikkitousen: Great Guardians,6.72,"['Action', 'Ecchi']","Hakufu's dreams of participating in new fights and tournaments are put on hold as new obstacles block her path. Her friends have lost faith in her, new enemies appear, and a younger sister she never knew existed suddenly shows up on her doorstep. If Hakufu ever hopes to compete worldwide, she's going to have to deal with her issues at home first. 

(Source: FUNimation)",TV,12.0,"Jun 11, 2008 to Aug 27, 2008",Finished Airing,"Genco, Media Factory, AT-X, Showgate, Toranoana, Zack Promotion",Funimation,Arms,Manga,24,R+ - Mild Nudity,5222.0,2506,85,28423.0,65944,2008-06-11,2008-08-27
2370,4197,Blue Dragon: Tenkai no Shichi Ryuu,6.53,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural']","After the events of the Blue Dragon series, Shu and Bouquet join a resistance group to fight General Rogi's army of invasion.They encounter a mysterious child , Noi, who has the power to revive Shu's shadow counter-part Blue Dragon, and save her from the pursuit of a red dragon. Now Shu and his company have to set foot once again on a journey to discover the purpose of the dragons, undergo their tests and stop the chains of events which threatens the fate of humanity. 

(Source: ANN)",TV,51.0,"Apr 5, 2008 to Mar 28, 2009",Finished Airing,TV Tokyo,VIZ Media,Pierrot,Game,20,PG - Children,6184.0,4859,17,7636.0,17369,2008-04-05,2009-03-28
2375,4208,Tetsujin 28-gou (1980),6.79,['Action'],"Shotaro had become an Interpol agent, working with Branch Robo, the antirobot crime unit of that organization. He still employs Tetsujin.

(Source: AniDB)",TV,51.0,"Oct 3, 1980 to Sep 25, 1981",Finished Airing,Studio Jack,Discotek Media,Tokyo Movie Shinsha,Unknown,23,G - All Ages,4885.0,10388,9,762.0,2195,1980-10-03,1981-09-25
2377,4211,Hareluya II Boy,6.34,"['Action', 'Comedy', 'Fantasy']","Hareluya Hibino has one ambition in life: to conquer the entire world! Despite his tough exterior, he's not a bad person, and when push comes to shove, he'll do his best to help those in need. Together with aspiring painter Kiyoshiro, Hareluya will take on whatever curveballs life may throw his way.

(Source: Sentai Filmworks)",TV,25.0,"Apr 8, 1997 to Sep 30, 1997",Finished Airing,TV Tokyo,Sentai Filmworks,Triangle Staff,Manga,23,PG-13 - Teens 13 or older,7187.0,9927,10,399.0,2543,1997-04-08,1997-09-30
2378,4214,Rosario to Vampire Capu2,6.9,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","It has been one year since Tsukune Aono enrolled at Youkai Academy, and since then his life has taken an interesting turn. In addition to being the only human at a school for monsters, he has attracted a bevy of beautiful women who want him all for themselves: the sexy succubus Kurumu Kurono; Yukari Sendou, a witch; stalker and yuki-onna Mizore Shirayuki; and Moka Akashiya, a kind vampire who, when her rosary is removed, reveals a darker personality.

But soon, trouble visits Youkai Academy in the form of Moka's younger sister, Kokoa Shuzen. She is furious that her ""true older sister"" is sealed within Moka's rosary, and vows to bring out Moka's darker self. However, Kokoa's thoughtless actions may affect more than just her sister...",TV,13.0,"Oct 2, 2008 to Dec 25, 2008",Finished Airing,"GDH, Yomiko Advertising, Happinet Pictures, Shueisha, Sotsu Music Publishing",Funimation,Gonzo,Manga,24,PG-13 - Teens 13 or older,4399.0,520,1106,250387.0,407779,2008-10-02,2008-12-25
2379,4224,Toradora!,8.08,"['Drama', 'Romance']","Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger.""

One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yuusaku Kitamura, who happens to be his best friend. But things only get crazier when Ryuuji reveals that he has a crush on Minori Kushieda—Taiga's best friend!

Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.",TV,25.0,"Oct 2, 2008 to Mar 26, 2009",Finished Airing,"Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music","NIS America, Inc.",J.C.Staff,Light novel,23,PG-13 - Teens 13 or older,487.0,22,55666,1330877.0,2121399,2008-10-02,2009-03-26
2381,4240,Ginga Senpuu Braiger,6.77,"['Action', 'Adventure', 'Sci-Fi']","In the year 2111, the solar system has been colonized. The colonized moons and planets are lawless and the police are helpless. In order to battle the evil within the solar system, Isaac Godonov creates J9, made up of himself, Blaster Kid, Stephen Bowie, and Angel Omachi. They are a team that will handle any missions the police will not with their robot Braiger... for a price. Meanwhile, the Nubia section of Earth has a plan to destroy Jupiter to create 30 more planets for human colonization. But this plan will result in the destruction of Earth. 

(Source: ANN)",TV,39.0,"Oct 6, 1981 to Jun 30, 1982",Finished Airing,Kokusai Eigasha,Discotek Media,Toei Animation,Original,23,PG-13 - Teens 13 or older,4987.0,9978,13,546.0,2501,1981-10-06,1982-06-30
2414,4382,Suzumiya Haruhi no Yuuutsu (2009),7.22,"['Comedy', 'Mystery', 'Sci-Fi']","Kyon has found himself dragged through many adventures as of late—all because of the SOS Brigade club and its excitable leader, Haruhi Suzumiya. He has stopped believing in the supernatural long ago, but after being forced to join this club based solely on that, he has seen things that cannot be explained logically. 

Joining Kyon on his various misadventures is the shy and soft-spoken Mikuru Asahina, the bookish Yuki Nagato, and the ever-cheerful Itsuki Koizumi. Whether it is summer vacation or a school festival, things involving their club and Haruhi herself always end up becoming strange.",TV,14.0,"May 22, 2009 to Sep 11, 2009",Finished Airing,Kadokawa Shoten,"Funimation, Bandai Entertainment",Kyoto Animation,Light novel,24,PG-13 - Teens 13 or older,2911.0,401,2224,295836.0,513230,2009-05-22,2009-09-11
2418,4415,World Destruction: Sekai Bokumetsu no Rokunin,6.94,"['Adventure', 'Fantasy']","Spinoff based on the Nintendo DS RPG game by SEGA, released in Japan July, 2008. 

In a world where humans serve as livestock for the ruling beastman, and where sand fills the roles of water and fire. Kyrie is recruited by the ""World Destruction Committee"" to assist in putting an end to their world. Kyrie alone holds the power needed to do it. 

(Source: AniDB)",TV,13.0,"Jul 8, 2008 to Sep 30, 2008",Finished Airing,Sega,Funimation,Production I.G,Game,25,PG-13 - Teens 13 or older,4231.0,2869,112,23590.0,51299,2008-07-08,2008-09-30
2434,4483,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,7.24,"['Drama', 'Romance', 'Slice of Life']","Get ready for a second magical journey to the world of Someday's Dreamers, where spellcasting is a profession that requires both the proper training AND a license. It's to get that license and fulfill a promise made to her late father that young Sora Suzuki has made the long journey from her distant home in the countryside town of Biei to the big city of Tokyo. It's a daunting challenge, but she's got a little bit of talent, a charming personality and, most important of all, the promise of an internship! What she ISN'T expecting, though, is how different life in the city will be, especially the people themselves. While she gets along with the confident Asagi, Kuroda and the gentle Hiyori, she's completely confused with the mysterious boy Gouta. And yet, as a result of their internships they keep ending up in the same situations and slowly learning to understand more about each other than they ever imagined possible!

(Source: Sentai Filmworks)",TV,12.0,"Jul 3, 2008 to Sep 25, 2008",Finished Airing,"Geneon Universal Entertainment, TV Asahi",Sentai Filmworks,Hal Film Maker,Manga,23,G - All Ages,2807.0,4020,65,6916.0,26607,2008-07-03,2008-09-25
2442,4503,Choujikuu Kidan Southern Cross,6.56,"['Action', 'Drama', 'Sci-Fi']","By the year 2120, humans have successfully colonized other planets following the near devestation of Earth from the last great world war. However, on Gloire, one such colony are surprised and unprepared at the arrival of The Zor, a group of beings whom were the original inhabitants of the planet and left following similar near fatal events. Coming to reclaim their former home world, a relentless war erupts between both races that ultimately leads to a cataclysmic showdown and into a no-win scenario for either.

(Source: ANN)",TV,23.0,"Apr 15, 1984 to Sep 30, 1984",Finished Airing,"Big West, Harmony Gold",ADV Films,Tatsunoko Production,Original,23,R+ - Mild Nudity,6025.0,6677,18,3184.0,7867,1984-04-15,1984-09-30
2454,4548,Yozakura Quartet,6.79,"['Action', 'Comedy', 'Supernatural']","The world of Yozakura Quartet is actually not one, but two worlds: one of humans, and one of youkai. Despite appearing mostly human, youkai may have animal like physical traits, along with a number of special abilities. Normally youkai are confined to their world, but some have found their way into the realm of humanity. As a symbol of peace, and a bridge between the two realms, a city was constructed within the protective barrier of seven magical trees, otherwise known as the Seven Pillars. This city of Sakurashin is home to both humans and youkai, with the peace between them maintained by the Hizumi Life Counseling Office.

The director of this office is Akina Hiizumi, a teenager with the inherited family ability to perform “tuning,” which can send harmful youkai back to their world permanently. He is aided by a group of girls, including the town’s 16 year old youkai mayor, Hime Yarizakura, their town’s announcer and resident telepath, Ao Nanami, and Kotoha Isone, a half-youkai who can summon objects just by stating the object’s name.

As new residents enter and mysterious events begin to take place, this quartet of protectors and their closest friends must continue to guard the city of Sakurashin, and maintain the fragile balance of peace between humans and youkai.",TV,12.0,"Oct 3, 2008 to Dec 19, 2008",Finished Airing,TBS,Sentai Filmworks,Nomad,Manga,24,PG-13 - Teens 13 or older,4890.0,1407,239,35211.0,153141,2008-10-03,2008-12-19
2455,4549,Hokuto no Ken: Raoh Gaiden Ten no Haoh,7.1,"['Action', 'Drama']","In the wastelands following the great nuclear war, a legend grew of a man.  “Hokuto No Ken.”  The Fist of the North Star.  Master of a legendary fighting technique.  A man of impossible strength and endurance.  Yet before Ken claimed the title of the Fist, there was another master, trained in the art of Hokuto Shinken, the King of the Fist, the Divine Fist of Heaven.  Raoh: the ultimate assassin, the ultimate warrior.  This is the story of the world before Fist of the North Star, and how one man took the future of a savage world into his deadly hands and reshaped its destiny.  Not as a hero but as a conqueror.  For in the mind of the man called Raoh, the only way to save Mankind is to grind it under his giant heel!  The greatest battle is about to begin in Legends of the Dark King ~ Fist of the North Star! 

(Source: Sentai Filmworks)",TV,13.0,"Oct 3, 2008 to Dec 26, 2008",Finished Airing,"Showgate, Index",Sentai Filmworks,Satelight,Manga,24,R - 17+ (violence & profanity),3545.0,5582,26,4619.0,12142,2008-10-03,2008-12-26
